Model,Accuracy,F1,Precision,Recall,ROC_AUC,Train_time_s
Logistic Regression,0.8617886178861789,0.9081081081081082,0.84,0.9882352941176471,0.8557275541795666,0.015837199985980988
Random Forest,0.8211382113821138,0.8764044943820225,0.8387096774193549,0.9176470588235294,0.7904024767801857,0.9463252000277862
Gradient Boosting,0.8048780487804879,0.8666666666666667,0.8210526315789474,0.9176470588235294,0.755108359133127,0.22462759993504733
